time,open,high,low,close,volume,label
2019-01-02,3.63,3.63,3.51,3.51,382061,down
2019-01-03,3.51,3.51,3.36,3.43,967044,down
2019-01-04,3.4,3.43,3.32,3.4,613657,down
2019-01-07,3.4,3.43,3.32,3.36,424613,down
2019-01-08,3.4,3.43,3.4,3.43,385589,up
2019-01-09,3.43,3.47,3.4,3.4,167393,down
2019-01-10,3.43,3.43,3.4,3.4,279490,down
2019-01-11,3.43,3.43,3.4,3.4,386525,down
2019-01-14,3.43,3.43,3.36,3.36,146306,down
2019-01-15,3.36,3.4,3.32,3.4,341119,up
2019-01-16,3.4,3.43,3.28,3.32,1088792,down
2019-01-17,3.36,3.36,3.28,3.28,349496,down
2019-01-18,3.28,3.32,3.24,3.28,215505,down
2019-01-21,3.24,3.36,3.24,3.32,848520,up
2019-01-22,3.32,3.36,3.28,3.32,489693,down
2019-01-23,3.32,3.32,3.28,3.32,404630,down
2019-01-24,3.32,3.36,3.28,3.32,757010,down
2019-01-25,3.32,3.36,3.28,3.32,732417,down
2019-01-28,3.28,3.32,3.28,3.28,374915,down
2019-01-29,3.28,3.32,3.24,3.32,301218,up
2019-01-30,3.74,3.74,3.32,3.32,230765,down
2019-01-31,3.4,3.4,3.32,3.32,646260,down
2019-02-01,3.36,3.4,3.32,3.32,413605,down
2019-02-11,3.32,3.43,3.32,3.43,266153,up
2019-02-12,3.4,3.51,3.4,3.51,1137730,up
2019-02-13,3.47,3.51,3.43,3.47,786211,down
2019-02-14,3.51,3.51,3.43,3.47,355093,down
2019-02-15,3.47,3.47,3.4,3.43,943366,down
2019-02-18,3.43,3.47,3.4,3.43,968250,down
2019-02-19,3.43,3.43,3.36,3.4,1491209,down
2019-02-20,3.4,3.59,3.4,3.55,2134399,up
2019-02-21,3.55,3.59,3.51,3.55,1153646,down
2019-02-22,3.55,3.55,3.47,3.51,580835,down
2019-02-25,3.51,3.59,3.51,3.55,889710,up
2019-02-26,3.55,3.55,3.47,3.47,852792,down
2019-02-27,3.51,3.55,3.47,3.51,399450,up
2019-02-28,3.51,3.51,3.43,3.47,1416226,down
2019-03-01,3.47,3.51,3.43,3.47,520938,down
2019-03-04,3.47,3.55,3.47,3.51,440893,up
2019-03-05,3.51,3.59,3.51,3.55,1397110,up
2019-03-06,3.55,3.55,3.51,3.55,497639,down
2019-03-07,3.51,3.63,3.51,3.59,1782996,up
2019-03-08,3.59,3.63,3.51,3.55,1668097,down
2019-03-11,3.55,3.59,3.51,3.51,384334,down
2019-03-12,3.55,3.63,3.55,3.59,1004199,up
2019-03-13,3.59,3.67,3.59,3.63,1484590,up
2019-03-14,3.63,3.7,3.63,3.67,1073297,up
2019-03-15,3.67,3.7,3.63,3.7,984247,up
2019-03-18,3.67,3.74,3.67,3.74,650547,up
2019-03-19,3.67,3.74,3.63,3.67,907038,down
2019-03-20,3.67,3.67,3.55,3.59,1222530,down
2019-03-21,3.59,3.63,3.55,3.55,689246,down
2019-03-22,3.59,3.59,3.51,3.55,504034,down
2019-03-25,3.51,3.55,3.47,3.47,890174,down
2019-03-26,3.51,3.55,3.51,3.51,441306,up
2019-03-27,3.51,3.55,3.51,3.51,199130,down
2019-03-28,3.55,3.55,3.51,3.55,221400,up
2019-03-29,3.55,3.55,3.51,3.55,327412,down
2019-04-01,3.51,3.55,3.51,3.55,185875,down
2019-04-02,3.55,3.55,3.51,3.51,300825,down
2019-04-03,3.55,3.55,3.51,3.55,207878,up
2019-04-04,3.51,3.55,3.47,3.51,408386,down
2019-04-05,3.51,3.51,3.47,3.51,209244,down
2019-04-08,3.51,3.55,3.47,3.51,278788,down
2019-04-09,3.51,3.55,3.47,3.51,548410,down
2019-04-10,3.51,3.51,3.47,3.51,602158,down
2019-04-11,3.47,3.51,3.43,3.47,238103,down
2019-04-12,3.47,3.47,3.4,3.43,487683,down
2019-04-16,3.43,3.43,3.36,3.4,562441,down
2019-04-17,3.4,3.47,3.4,3.4,332851,down
2019-04-18,3.4,3.43,3.36,3.36,296854,down
2019-04-19,3.4,3.43,3.36,3.4,178472,up
2019-04-22,3.4,3.4,3.32,3.32,648876,down
2019-04-23,3.36,3.43,3.36,3.4,464201,up
2019-04-24,3.4,3.43,3.36,3.4,416672,down
2019-04-25,3.43,3.47,3.36,3.4,932122,down
2019-04-26,3.4,3.4,3.36,3.4,495744,down
2019-05-02,3.4,3.4,3.32,3.4,324101,down
2019-05-03,3.36,3.36,3.32,3.36,1103554,down
2019-05-06,3.36,3.36,3.16,3.16,2416600,down
2019-05-07,3.2,3.24,3.2,3.24,359069,up
2019-05-08,3.2,3.2,3.13,3.16,491046,down
2019-05-09,3.2,3.2,3.16,3.16,502223,down
2019-05-10,3.16,3.2,3.16,3.16,357673,down
2019-05-13,3.2,3.24,3.16,3.24,609916,up
2019-05-14,3.2,3.24,3.16,3.16,645552,down
2019-05-15,3.2,3.24,3.16,3.2,675760,up
2019-05-16,3.2,3.24,3.16,3.2,305620,down
2019-05-17,3.2,3.24,3.16,3.16,405097,down
2019-05-20,3.2,3.24,3.16,3.2,1090005,up
2019-05-21,3.24,3.24,3.16,3.16,886883,down
